id,brand,model,year,price,distance,location,was_in_accident,img_url
31958665,Audi,A6,2012,16900,295,Чернівці,false,https://cdn2.riastatic.com/photosnew/auto/photo/audi_a6__435374137bx.jpg
1871846,Mitsubishi,ASX,2021,21182,0,Чернівці,false,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/mitsubishi-asx__1399637-341x224x60.jpg
1864069,Mitsubishi,Outlander,2021,33960,0,Чернівці,false,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/mitsubishi-outlander__1294847-341x224x60.jpg
1866165,Mitsubishi,Eclipse Cross,2021,33509,0,Чернівці,false,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/mitsubishi-eclipse-cross__1327282-341x224x60.jpg
1877990,Chery,Tiggo 7 Pro,2021,22200,0,Чернівці,false,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/chery-tiggo-7-pro__1436037-341x224x60.jpg
32009584,Volvo,XC90,2004,10500,273,Чернівці,false,https://cdn1.riastatic.com/photosnew/auto/photo/volvo_xc90__436405296bx.jpg
31990050,ВАЗ,21214,2012,8700,144,Чернівці,false,https://cdn0.riastatic.com/photosnew/auto/photo/vaz_21214__436134150bx.jpg
31789750,Volkswagen,Golf IV,2001,3900,410,Чернівці,false,https://cdn0.riastatic.com/photosnew/auto/photo/volkswagen_golf-iv__431399925bx.jpg
31039469,Porsche,Cayenne,2008,14950,149,Чернівці,false,https://cdn2.riastatic.com/photosnew/auto/photo/porsche_cayenne__414308597bx.jpg
31894075,ВАЗ,2110,2010,2650,281,Чернівці,false,https://cdn3.riastatic.com/photosnew/auto/photo/vaz_2110__433851633bx.jpg
1866329,Mitsubishi,ASX,2021,21425,0,Чернівці,false,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/mitsubishi-asx__1331209-341x224x60.jpg
31736888,BMW,528,2010,13700,260,Чернівці,true,https://cdn0.riastatic.com/photosnew/auto/photo/bmw_528__430156965bx.jpg
